Temperature	Pressure	Frequency	Sound Pressure Level
74.2959	2.2316	10000	58.6108
74.2959	2.2316	12500	60.1623
74.2959	2.2316	16000	62.1049
74.2959	2.2316	20000	66.322
74.2959	2.2316	25000	72.3482
74.2959	2.2316	31500	77.4305
74.2959	2.2316	40000	78.4054
74.2959	2.2316	50000	75.1776
74.2959	2.2316	63000	72.8314
74.2959	2.2316	80000	75.2106
74.4944	1.09	500	27.5164
74.4944	1.09	630	29.994
74.4944	1.09	800	31.5491
74.4944	1.09	1000	34.4126
74.4944	1.09	1250	36.1662
74.4944	1.09	1600	40.0521
74.4944	1.09	2000	42.2079
74.4944	1.09	2500	40.6783
74.4944	1.09	3150	43.266
74.4944	1.09	4000	46.8237
74.4944	1.09	5000	48.1382
74.4944	1.09	6300	49.2648
74.4944	1.09	8000	50.3892
74.4944	1.09	10000	52.1297
74.4944	1.09	12500	54.3669
74.4944	1.09	16000	57.9131
74.4944	1.09	20000	63.1223
74.4944	1.09	25000	68.4838
74.4944	1.09	31500	72.6587
74.4944	1.09	40000	71.4029
74.4944	1.09	50000	65.7215
74.4944	1.09	63000	62.8251
74.4944	1.09	80000	68.2241
